gene,log2FoldChange,padj,n_ifn,IFN_KDz
CCNB2,1.534823544957884,0.0398120169257849,1.0,-1.0423774719238281
LRRC45,1.1091711393571535,0.0399897340013174,1.0,-0.806994616985321
BIRC5,1.664473253639837,0.0410728269114807,1.0,-1.2253916263580322
ASF1B,1.7427683865581116,0.0357996636521584,1.0,-1.113259196281433
CDCA8,1.6891759428301705,0.0320812627846681,1.0,-1.0164353847503662
NDC80,0.919269381007214,0.0415484742061289,1.0,-0.7276630997657776
CEP55,1.6976142748621017,0.0412634956100059,1.0,-1.3804943561553955
CDCA2,1.5285323895295204,0.0460673805986081,1.0,-0.8378980755805969
NUDT1,0.6478405583577217,0.04488448255021,1.0,-0.8985937237739563
NCAPG2,1.0455443141899414,0.0483361937547924,1.0,-0.8445860743522644
TMEM63A,-0.6435593935747166,0.0453002431473172,1.0,0.7110352516174316
ICAM2,-0.5541055035321111,0.0399897340013174,1.0,0.3766096234321594
ESYT2,-0.6105085317831219,0.0332613485398254,1.0,0.08084852993488312
MYC,-0.9246430157545,0.0255498430148376,1.0,0.38482850790023804
RNF144A,-1.7582995047789107,0.0211138756292284,1.0,-0.42564550042152405
ZNF14,-0.9793978972834424,0.0093986168727991,1.0,0.3387109935283661
PRKCA,-1.0997107283351617,0.0081850584460384,1.0,0.7581533193588257
TXK,-1.0333555840725437,0.0069728334086065,1.0,0.48622021079063416
ATM,-0.6615840865035658,0.0041442302314019,1.0,0.42966610193252563
TCF7,-0.9012407345168332,0.0024514186058728,1.0,0.9474853277206421
FOXP1,-0.6622318273755169,0.0007656678325491,1.0,0.5482951402664185
