regulator,coef_tumor,sem_tumor
ELOF1,0.0101039500983124,0.0005171701116273
ATXN7L3,0.0096667322717662,0.00065264358409
USP22,0.0084113795311133,0.0005589585110542
FUBP1,0.0076421161071436,0.0004672984048781
LIN37,0.0074662539656649,0.0002095867048075
TXNDC9,0.0071813743447302,0.0003543449048513
SREK1,0.0070251992046746,0.0001278972954368
YTHDF2,0.0068934156117717,0.0004826525909741
SGF29,0.0066813828736854,0.0002608588909138
UFL1,0.0066670069811612,0.0002470467456922
RBM27,0.0066555712589064,0.0002149593028718
NUDCD1,0.0065461027138939,0.000726765416569
UBE2J2,0.0061976315405785,0.0002176521776471
PPRC1,0.0060999526767615,0.0001649261730559
NDUFB11,0.0060773799140326,0.0005588220288881
TAF6L,0.0060353416580519,0.0002056872359995
AUP1,0.0059863157442492,0.0002850911984302
ATG9B,0.0059409426091108,0.0003373922129475
TCEA1,0.0059138623981906,0.0004464146640613
RBM5,0.005880971317112,0.0001430642393695
TRAF3,0.0058674946642275,0.0001961461244429
ATF7IP2,0.0058526322572596,0.000214251953038
FOSL2,0.0058428549619895,0.0003395782361868
TADA1,0.005780194606208,0.0002697923556567
ERCC1,0.0057382087062126,0.000218643912161
MAP1LC3B,0.0057208124649439,0.0002040391826847
NFKBIB,0.0057002542201652,0.0001776489119935
SCYL3,0.0056506188321882,0.0001919235166733
PHF3,0.0056362972177918,0.0003107196473234
TRIM25,0.0056031093035613,0.0002841609293904
PAN3,0.0055505643861131,0.0003781572358002
EMC6,0.0055419117875754,0.0002135896525381
UFM1,0.005506017146621,0.0002703010546464
RO60,0.0054795753306077,0.0003449682287042
TPT1,0.0054728748107053,0.0002124999614701
EDC4,0.0054562960964285,0.0002443325856515
PTDSS2,0.0054486285984045,0.0002376847664795
HNRNPA2B1,0.0054446684332201,0.000209414707087
SUPT20H,0.0053875441763509,0.0001396685277214
RPRD2,0.0053607264544501,0.0002203540902488
FBXL16,0.0052785874037841,0.0003644420008993
STUB1,0.0052311282273473,0.0001807345136002
TSPYL5,0.0052201126510787,0.0001747771507878
CCDC9,0.0051737865248234,0.0003133591006787
CDK5RAP3,0.00514229431278,0.0003595531681134
MMGT1,0.0051375431753688,0.0003706233460624
COMMD8,0.0051355228644313,0.000425094698467
UFC1,0.0051269237377381,0.0001074877014452
ZNF607,0.00511001525787,0.0001362237296155
TFDP1,0.005099136118835,0.0002275245442626
ELAVL1,0.0050719035284018,0.0003780535943695
PTMA,0.0050662647847033,0.000411657383844
MMAB,0.0050504088070471,0.000125009703054
STYX,0.0050451035059518,0.0001321434806762
CFAP298,0.0050260427160968,0.0001272629255879
SLC30A6,0.0050232088153261,0.0001329299672723
NSD2,0.0048821805765132,0.0001403097405821
PGAM1,0.0048587796516149,0.0002943389232777
MAP3K13,0.0048432961742632,0.0002018211020737
NFKB2,0.0048263408447755,0.0002065365607687
EXOC6,0.0048128929486242,0.0003604085694277
RASGRP1,0.0048074280368838,0.000293330785276
