gene,log2FoldChange,padj,n_saga,SAGA_KDz
ZDHHC12,0.5889895662398029,0.017441956394416,2.0,1.2987968921661377
DUSP23,0.6375692462037679,0.0181057370775291,2.0,1.2431526184082031
ARHGAP11A,1.0900448527064674,0.0123965205907985,2.0,0.20513096451759338
BUB1B,1.494860976897577,0.024134056317364,2.0,1.2202351093292236
E2F7,2.223958078249945,0.0123965205907985,1.0,0.7768418192863464
APOBEC3H,1.1804326650149466,0.0093986168727991,1.0,0.27081355452537537
CENPM,1.0401148223563577,0.0087517664725486,1.0,0.6865953803062439
TOP2A,1.489784215893328,0.0080611328690735,1.0,-0.9480053186416626
SHCBP1,2.1933670627337385,0.0061228996696747,1.0,0.9329645037651062
TK1,2.1777070853451845,0.005768287377098,1.0,0.9769333600997925
CKAP2L,1.9756455193925293,0.0060519320408123,1.0,0.7463623285293579
DLGAP5,2.31807987728594,0.0033066284751444,1.0,-0.07220570743083954
EPSTI1,0.8387673077218101,0.0032722554432412,1.0,1.3216222524642944
SKA1,2.4546188445858474,0.0033066284751444,1.0,1.1605887413024902
ZWINT,1.577878713446755,0.0033066284751444,1.0,0.6680558919906616
MAMLD1,1.7808920652649562,0.0055091119321533,1.0,0.4027494788169861
PSMD14,0.7364784899246103,0.0012114859196468,1.0,1.1283409595489502
CCNA2,1.5393981547735152,0.0025578388785501,1.0,-0.3246282935142517
LMNB1,0.9187342671745236,0.0029718532195344,1.0,-0.9537787437438965
KIF11,2.0121711069904067,0.0003499112112034,1.0,0.33037394285202026
POLQ,1.8763701998290312,0.0119002170086961,1.0,0.4067663252353668
PARL,0.5470288569542008,0.0149721690465078,1.0,-0.15937745571136475
GINS2,1.4826726689909389,0.0123965205907985,1.0,-0.6590483784675598
MCM2,1.388731892095663,0.0134243554146861,1.0,-0.29134607315063477
CCNE2,1.5488612602295189,0.0138644654628236,1.0,-1.035459280014038
GTSE1,1.905402369830291,0.0139333279251794,1.0,0.3874100148677826
CCL4,0.8913413441798248,0.0139384566115437,1.0,-1.0906083583831787
TRIP13,1.7621989446616908,0.0181825154503607,1.0,0.9411876797676086
HJURP,1.813351617601438,0.0149118999566319,1.0,-0.7171298861503601
NCAPH,1.0558893205002424,0.0129697711772391,1.0,0.6708884835243225
FABP5,0.8044339755985762,0.0240217358955567,1.0,-0.8925153613090515
PLEK,0.878334132334807,0.0224621130513564,1.0,-0.4170956611633301
DTL,1.3766357829917997,0.0204108206251112,1.0,0.06072337552905083
BRCA2,1.2550606226184526,0.0211138756292284,1.0,0.5086115598678589
MSMO1,0.8229443100634989,0.0216756230844147,1.0,-1.0111083984375
CDCA8,1.6891759428301705,0.0320812627846681,1.0,0.45654287934303284
ESCO2,1.5400145246159282,0.0352806260950536,1.0,0.6961168050765991
YIF1B,0.5742964291690417,0.026539872033659,1.0,0.7949708104133606
RNF26,0.8692283803859863,0.0284069306300681,1.0,0.3622669279575348
CIITA,0.7680152025715934,0.02983096955145,1.0,0.5621104836463928
CENPN,0.8473035909301084,0.024203829485098,1.0,1.1536979675292969
IFI30,0.9003500567597146,0.0252495671226715,1.0,1.3189616203308105
PLEKHA5,1.030790075017996,0.0252495671226715,1.0,0.7808298468589783
CENPW,2.0614014188662524,0.024134056317364,1.0,0.6339331269264221
TTK,2.0670021493088058,0.0240811976384168,1.0,1.0631792545318604
