gene,z_discovery_tumor,log2FC_tumor,lfcSE_tumor,padj_tumor,z_tumor_splitA,z_tumor_splitB
PPM1G,4.370701578944916,0.4136059759724539,0.0946314838709025,0.004032835196382,3.1590424699046458,2.842135363877461
NCAPG,4.356698583835745,1.9402027407782048,0.4453378409001621,0.0041442302314019,4.856520150204103,1.6566834121934055
KIFC1,4.343004065081813,1.78194649038058,0.4103027452144491,0.0042781446734258,4.067457811380173,1.8946715878247256
KIF18B,4.3361294999526665,2.069401096987718,0.4772461470558726,0.0043201690352323,3.280094600673963,2.962010932270876
OASL,4.310992156916531,0.8899046855049009,0.2064268857639054,0.0046441968133457,2.965049969338667,3.330717943744346
CDC20,4.291006008752738,1.9892306803228552,0.4635814250237003,0.0049809455005114,5.412183633763006,1.1575451938715895
RP11-500M8.7,4.269812455690031,0.6526935563629226,0.1528623477345313,0.005371205700877,4.016481211027325,1.80453894993514
CCNF,4.259356643167802,1.443879870398631,0.3389901319286514,0.0055091119321533,3.8618711453991783,1.918871090103977
CDKN3,4.251301701249895,1.512469581653169,0.3557662306602466,0.0055091119321533,4.200004655879353,1.898263259883316
SGOL1,4.244821489692194,1.561747208566261,0.3679182298616539,0.0055091119321533,3.593848327460579,2.208289615901952
P2RY6,4.242150286819281,4.362497723222599,1.0283694419731542,,2.3221274071395355,3.3276803359820595
MAMLD1,4.241720702236298,1.7808920652649562,0.4198513269216531,0.0055091119321533,2.7264890755685443,3.134801178681472
FADS1,4.234678154849509,1.488114287427558,0.3514114256176435,0.0055091119321533,3.3413044923489896,2.45837233507024
CLSPN,4.233091326230315,1.840760386617538,0.4348501472697462,0.0055091119321533,4.655243979331623,1.58827236502247
CCL4L1,4.221688260209383,0.9614439294468632,0.2277392053100525,0.0056283048343139,2.0625135271352963,5.430683914088512
DHCR24,4.219174674968702,1.660911404273181,0.3936578909915603,0.0056283048343139,3.7482559508812927,2.263458267547773
RP11-274E7.2,4.207225350399408,0.6191379720987787,0.1471606392654963,0.0057087560947116,2.971121707983776,2.7889803729667637
NDUFA7,4.201620595010906,0.6341570515037512,0.1509315363354708,0.0057087560947116,2.6947439835011373,3.486912336782292
EZH2,4.201620150922672,0.5739364973867466,0.1365988539589212,0.0057087560947116,3.580266617800593,2.237393431175414
TK1,4.195812839858213,2.1777070853451845,0.5190191194082848,0.005768287377098,4.150308370390932,2.0082570964936863
RP11-815N9.2,4.192380472828325,1.2128291061894658,0.2892936635999664,0.0057688768700936,1.5110580752096965,4.44616754298557
ITGA4,4.177335287327038,0.4529139857269544,0.1084217460592591,0.0060519320408123,2.415189277452018,3.5414228173111693
CKAP2L,4.170438779595949,1.9756455193925293,0.4737260570898342,0.0060519320408123,3.517729246218056,2.353588689030542
ECT2,4.169365611617077,1.84638263345286,0.4428449806148676,0.0060519320408123,3.55813382531343,2.283730925658973
PGAM1,4.165180332533132,0.287882188631876,0.0691163804801688,0.0060519320408123,3.3050193920220097,2.3299258212013414
RAD51AP1,4.165113459798055,2.1173252032591,0.5083475453179511,0.0060519320408123,4.28120977529831,1.811093775509688
MRPL39,4.157882807899839,0.7099282461224647,0.1707427262677112,0.0061228996696747,2.366675627253629,3.4624160091455174
SHCBP1,4.153608994980521,2.1933670627337385,0.5280629605204388,0.0061228996696747,3.554791387264764,2.273672991453308
HIST1H3F,4.153248616467785,3.878956629131319,0.9339572434337574,,3.394367003291645,2.5030137511292776
IFI27L2,4.1525177426153705,0.8012864941253298,0.1929640145548559,0.0061228996696747,3.673228931755727,2.8256405227821566
SPC24,4.150094178610339,1.764597777314474,0.4251946344758254,0.0061228996696747,4.383795345735124,1.3401734313752682
CDC45,4.120924936550326,2.033411182622464,0.4934356276638846,0.0067065384289509,4.304706040752789,1.6861459963438257
GNG5,4.120295779965051,0.390938618380537,0.0948812025295555,0.0067065384289509,2.9849489100435886,3.1991702003882176
LAMP2,4.096802616301319,0.4966733140923909,0.1212343772961164,0.0072412083233689,2.43801764407307,3.253472626035276
PSMC3,4.068431277915485,0.4366014149834312,0.1073144377179033,0.0080432851707309,3.6758089975612567,2.277009956848965
FAM72B,4.066725347575895,1.6411458163519126,0.4035546234589388,0.0080432851707309,2.740957051608948,3.190062814440181
TOP2A,4.061676306984774,1.489784215893328,0.3667904833606211,0.0080611328690735,4.2707792606625805,1.5594963890787168
MELK,4.046310200282554,1.9516881173430471,0.4823377399999536,0.0083740449360539,4.026574280081606,1.856172149730673
DBI,4.036053176879059,0.4375083075000157,0.1084000354619524,0.0084537323974993,4.194501927752152,1.467095138433065
